Test Size,Random State,Neighbors,Weight,Metric,Accuracy,Precision,Recall,Specificity
0.15,42,41,uniform,manhattan,0.6,0.6,1.0,0.0
0.15,42,41,distance,euclidean,0.6,0.6,1.0,0.0
0.15,42,41,distance,manhattan,0.6,0.6,1.0,0.0
0.15,42,43,uniform,euclidean,0.6,0.6,1.0,0.0
0.15,42,43,uniform,manhattan,0.6,0.6,1.0,0.0
0.15,42,43,distance,euclidean,0.6,0.6,1.0,0.0
0.15,42,43,distance,manhattan,0.6,0.6,1.0,0.0
0.15,42,45,uniform,euclidean,0.6,0.6,1.0,0.0
0.15,42,45,uniform,manhattan,0.6,0.6,1.0,0.0
0.15,42,45,distance,euclidean,0.6,0.6,1.0,0.0
0.15,42,45,distance,manhattan,0.6,0.6,1.0,0.0
0.15,42,47,uniform,euclidean,0.6,0.6,1.0,0.0
0.15,42,47,uniform,manhattan,0.6,0.6,1.0,0.0
0.15,42,47,distance,euclidean,0.6,0.6,1.0,0.0
0.15,42,47,distance,manhattan,0.6,0.6,1.0,0.0
0.15,42,49,uniform,euclidean,0.6,0.6,1.0,0.0
0.15,42,49,uniform,manhattan,0.6,0.6,1.0,0.0
0.15,42,49,distance,euclidean,0.6,0.6,1.0,0.0
0.15,42,49,distance,manhattan,0.6,0.6,1.0,0.0
0.15,42,51,uniform,euclidean,0.6,0.6,1.0,0.0
0.15,42,51,uniform,manhattan,0.6,0.6,1.0,0.0
0.15,42,51,distance,euclidean,0.6,0.6,1.0,0.0
0.15,42,51,distance,manhattan,0.6,0.6,1.0,0.0
0.15,123,1,uniform,euclidean,0.52,0.55,0.7857142857142857,0.18181818181818182
0.15,123,1,uniform,manhattan,0.6,0.5909090909090909,0.9285714285714286,0.18181818181818182
0.15,123,1,distance,euclidean,0.52,0.55,0.7857142857142857,0.18181818181818182
0.15,123,1,distance,manhattan,0.6,0.5909090909090909,0.9285714285714286,0.18181818181818182
0.15,123,3,uniform,euclidean,0.52,0.55,0.7857142857142857,0.18181818181818182
0.15,123,3,uniform,manhattan,0.64,0.6190476190476191,0.9285714285714286,0.2727272727272727
0.15,123,3,distance,euclidean,0.52,0.55,0.7857142857142857,0.18181818181818182
0.15,123,3,distance,manhattan,0.64,0.6190476190476191,0.9285714285714286,0.2727272727272727
0.15,123,5,uniform,euclidean,0.56,0.5714285714285714,0.8571428571428571,0.18181818181818182
0.15,123,5,uniform,manhattan,0.6,0.5833333333333334,1.0,0.09090909090909091
0.15,123,5,distance,euclidean,0.56,0.5714285714285714,0.8571428571428571,0.18181818181818182
0.15,123,5,distance,manhattan,0.6,0.5833333333333334,1.0,0.09090909090909091
0.15,123,7,uniform,euclidean,0.52,0.5454545454545454,0.8571428571428571,0.09090909090909091
0.15,123,7,uniform,manhattan,0.56,0.5652173913043478,0.9285714285714286,0.09090909090909091
0.15,123,7,distance,euclidean,0.52,0.5454545454545454,0.8571428571428571,0.09090909090909091
0.15,123,7,distance,manhattan,0.56,0.5652173913043478,0.9285714285714286,0.09090909090909091
0.15,123,9,uniform,euclidean,0.6,0.5909090909090909,0.9285714285714286,0.18181818181818182
0.15,123,9,uniform,manhattan,0.56,0.5652173913043478,0.9285714285714286,0.09090909090909091
