Test Size,Random State,C,Penalty,Solver,Class Weight,Accuracy,Precision,Recall
0.2,123,1.0,l2,liblinear,balanced,0.7048433048433048,0.8188461538461539,0.7110294117647059
0.2,123,10.0,l1,liblinear,,0.7205128205128205,0.7991666666666667,0.7610294117647058
0.2,123,10.0,l1,liblinear,balanced,0.7205128205128205,0.7991666666666667,0.7610294117647058
0.2,123,10.0,l2,liblinear,,0.7125356125356126,0.8028702180172769,0.7352941176470588
0.2,123,10.0,l2,liblinear,balanced,0.71994301994302,0.821052036199095,0.7352941176470588
0.2,123,100.0,l1,liblinear,,0.7356125356125356,0.8109848484848484,0.7727941176470587
0.2,123,100.0,l1,liblinear,balanced,0.7282051282051282,0.8091666666666667,0.7610294117647058
0.2,123,100.0,l2,liblinear,,0.7128205128205127,0.8030128205128205,0.7360294117647059
0.2,123,100.0,l2,liblinear,balanced,0.7051282051282051,0.7991666666666667,0.7235294117647059
0.2,123,1000.0,l1,liblinear,,0.7282051282051282,0.8022222222222222,0.7727941176470589
0.2,123,1000.0,l1,liblinear,balanced,0.7433048433048433,0.8131907308377896,0.7845588235294118
0.2,123,1000.0,l2,liblinear,,0.7051282051282051,0.7934539969834088,0.7360294117647059
0.2,123,1000.0,l2,liblinear,balanced,0.6974358974358974,0.789607843137255,0.7235294117647059
0.2,456,0.1,l1,liblinear,,0.621082621082621,0.6897777777777777,0.7993464052287582
0.2,456,0.1,l1,liblinear,balanced,0.6438746438746439,0.8097358781569308,0.630718954248366
0.2,456,0.1,l2,liblinear,,0.7196581196581198,0.7837552772305094,0.8209150326797385
0.2,456,0.1,l2,liblinear,balanced,0.7125356125356126,0.833544891640867,0.7313725490196078
0.2,456,1.0,l1,liblinear,,0.71994301994302,0.8174725274725274,0.7764705882352941
0.2,456,1.0,l1,liblinear,balanced,0.7125356125356126,0.8261904761904763,0.7542483660130719
0.2,456,1.0,l2,liblinear,,0.7424501424501424,0.8289431157078215,0.7986928104575164
0.2,456,1.0,l2,liblinear,balanced,0.7196581196581197,0.8231742818584925,0.7653594771241831
0.2,456,10.0,l1,liblinear,,0.7267806267806268,0.8090336134453782,0.7875816993464053
0.2,456,10.0,l1,liblinear,balanced,0.7267806267806268,0.8090336134453782,0.7875816993464053
0.2,456,10.0,l2,liblinear,,0.7267806267806268,0.8020891690009337,0.7986928104575164
0.2,456,10.0,l2,liblinear,balanced,0.7193732193732194,0.7994747899159664,0.7875816993464053
0.2,456,100.0,l1,liblinear,,0.7344729344729345,0.8112394957983193,0.7986928104575164
0.2,456,100.0,l1,liblinear,balanced,0.7344729344729345,0.8112394957983193,0.7986928104575164
0.2,456,100.0,l2,liblinear,,0.7418803418803419,0.8134453781512605,0.8098039215686275
0.2,456,100.0,l2,liblinear,balanced,0.7418803418803419,0.8134453781512605,0.8098039215686275
0.2,456,1000.0,l1,liblinear,,0.7418803418803419,0.8134453781512605,0.8098039215686275
0.2,456,1000.0,l1,liblinear,balanced,0.7418803418803419,0.8134453781512605,0.8098039215686275
0.2,456,1000.0,l2,liblinear,,0.7418803418803419,0.8134453781512605,0.8098039215686275
0.2,456,1000.0,l2,liblinear,balanced,0.7344729344729345,0.8119747899159663,0.7986928104575164
0.2,89,0.1,l1,liblinear,,0.6136752136752136,0.7552380952380952,0.5191666666666667
0.2,89,0.1,l1,liblinear,balanced,0.6361823361823362,0.7595238095238095,0.5566666666666666
0.2,89,0.1,l2,liblinear,,0.7273504273504274,0.7993894993894994,0.735
0.2,89,0.1,l2,liblinear,balanced,0.711965811965812,0.8126050420168067,0.6833333333333333
0.2,89,1.0,l1,liblinear,,0.6595441595441596,0.725,0.6966666666666667
0.2,89,1.0,l1,liblinear,balanced,0.6441595441595442,0.7237271062271062,0.6583333333333333
0.2,89,1.0,l2,liblinear,,0.6675213675213676,0.7343223443223443,0.7091666666666667
0.2,89,1.0,l2,liblinear,balanced,0.6675213675213676,0.7441125541125542,0.6966666666666667
0.2,89,10.0,l1,liblinear,,0.6595441595441595,0.7167300604452308,0.7224999999999999
0.2,89,10.0,l1,liblinear,balanced,0.6669515669515669,0.7248182957393483,0.7224999999999999
0.2,89,10.0,l2,liblinear,,0.6749287749287749,0.7464736501888205,0.7091666666666667
0.2,89,10.0,l2,liblinear,balanced,0.6749287749287749,0.7464736501888205,0.7091666666666667
0.2,89,100.0,l1,liblinear,,0.6521367521367522,0.7098879551820728,0.7224999999999999
0.2,89,100.0,l1,liblinear,balanced,0.6521367521367522,0.7098879551820728,0.7224999999999999
0.2,89,100.0,l2,liblinear,,0.6675213675213676,0.7314996767937945,0.7224999999999999
0.2,89,100.0,l2,liblinear,balanced,0.6675213675213676,0.7314996767937945,0.7224999999999999
0.2,89,1000.0,l1,liblinear,,0.6672364672364671,0.7253092006033184,0.735
0.2,89,1000.0,l1,liblinear,balanced,0.6521367521367522,0.7191187244128421,0.7091666666666667
0.2,89,1000.0,l2,liblinear,,0.6598290598290599,0.7286425339366516,0.7091666666666667
0.2,89,1000.0,l2,liblinear,balanced,0.6598290598290599,0.7286425339366516,0.7091666666666667
0.25,42,0.1,l1,liblinear,,0.6823333333333335,0.7630325814536341,0.7283333333333333
0.25,42,0.1,l1,liblinear,balanced,0.6986666666666668,0.8035256410256408,0.6900000000000001
0.25,42,0.1,l2,liblinear,,0.7316666666666667,0.7932369101486748,0.7791666666666666
0.25,42,0.1,l2,liblinear,balanced,0.6993333333333334,0.8016892911010558,0.7158333333333333
0.25,42,1.0,l1,liblinear,,0.724,0.7758810960281549,0.7925000000000001
0.25,42,1.0,l1,liblinear,balanced,0.7083333333333333,0.8038279857397506,0.7291666666666666
0.25,42,1.0,l2,liblinear,,0.6993333333333334,0.7609243697478991,0.7666666666666666
0.25,42,1.0,l2,liblinear,balanced,0.675,0.7517533936651584,0.7283333333333333
0.25,42,10.0,l1,liblinear,,0.6353333333333333,0.7230330634278003,0.7016666666666667
0.25,42,10.0,l1,liblinear,balanced,0.6353333333333333,0.7230330634278003,0.7016666666666667
0.25,42,10.0,l2,liblinear,,0.6513333333333333,0.7253092006033183,0.7283333333333333
0.25,42,10.0,l2,liblinear,balanced,0.6676666666666666,0.7474999999999999,0.7283333333333333
0.25,42,100.0,l1,liblinear,,0.6183333333333334,0.7087608160673178,0.6875
0.25,42,100.0,l1,liblinear,balanced,0.6183333333333334,0.7087608160673178,0.6875
0.25,42,100.0,l2,liblinear,,0.6676666666666666,0.7433333333333333,0.7408333333333333
0.25,42,100.0,l2,liblinear,balanced,0.6676666666666666,0.7433333333333333,0.7408333333333333
0.25,42,1000.0,l1,liblinear,,0.6346666666666667,0.7303450797568445,0.6875
0.25,42,1000.0,l1,liblinear,balanced,0.6346666666666667,0.7303450797568445,0.6875
0.25,42,1000.0,l2,liblinear,,0.6676666666666666,0.7433333333333333,0.7408333333333333
0.25,42,1000.0,l2,liblinear,balanced,0.6593333333333333,0.7395238095238095,0.7274999999999999
0.25,123,0.1,l1,liblinear,,0.6016666666666667,0.6856862745098039,0.6975
0.25,123,0.1,l1,liblinear,balanced,0.6343333333333334,0.7574425574425574,0.6208333333333333
0.25,123,0.1,l2,liblinear,,0.666,0.7556043956043956,0.7075
0.25,123,0.1,l2,liblinear,balanced,0.6986666666666668,0.8113186813186812,0.6950000000000001
0.25,123,1.0,l1,liblinear,,0.6980000000000001,0.7698529411764706,0.7575000000000001
0.25,123,1.0,l1,liblinear,balanced,0.7230000000000001,0.8166125541125542,0.7325
0.25,123,1.0,l2,liblinear,,0.7390000000000001,0.8118697478991596,0.77
0.25,123,1.0,l2,liblinear,balanced,0.7230000000000001,0.8153571428571429,0.7325
0.25,123,10.0,l1,liblinear,,0.7070000000000001,0.7690497737556561,0.77
0.25,123,10.0,l1,liblinear,balanced,0.7066666666666668,0.7764027149321266,0.7575000000000001
0.25,123,10.0,l2,liblinear,,0.74,0.798858543417367,0.7966666666666666
0.25,123,10.0,l2,liblinear,balanced,0.7396666666666667,0.8063951734539969,0.7833333333333333
0.25,123,100.0,l1,liblinear,,0.7073333333333334,0.7634453781512605,0.7833333333333333
0.25,123,100.0,l1,liblinear,balanced,0.6990000000000001,0.7612394957983193,0.7708333333333333
0.25,123,100.0,l2,liblinear,,0.7236666666666667,0.7860030165912518,0.7833333333333333
0.25,123,100.0,l2,liblinear,balanced,0.7316666666666667,0.7955618401206637,0.7833333333333333
0.25,123,1000.0,l1,liblinear,,0.6990000000000001,0.7676772247360483,0.7575000000000001
0.25,123,1000.0,l1,liblinear,balanced,0.7236666666666667,0.7930618401206636,0.7708333333333333
0.25,123,1000.0,l2,liblinear,,0.7153333333333334,0.7751696832579185,0.7833333333333333
0.25,123,1000.0,l2,liblinear,balanced,0.7236666666666667,0.7860030165912518,0.7833333333333333
0.25,456,0.1,l1,liblinear,,0.6586666666666667,0.7152597402597402,0.8191176470588235
0.25,456,0.1,l1,liblinear,balanced,0.6593333333333334,0.8203418803418803,0.6411764705882353
0.25,456,0.1,l2,liblinear,,0.692,0.7825641025641026,0.7610294117647058
0.25,456,0.1,l2,liblinear,balanced,0.7003333333333333,0.8342663219133808,0.7022058823529411
0.25,456,1.0,l1,liblinear,,0.6746666666666667,0.7509803921568626,0.7852941176470589
0.25,456,1.0,l1,liblinear,balanced,0.692,0.8029411764705883,0.7375
0.25,456,1.0,l2,liblinear,,0.7163333333333334,0.7949673202614379,0.7852941176470588
0.25,456,1.0,l2,liblinear,balanced,0.708,0.8023062558356676,0.7610294117647058
0.25,456,10.0,l1,liblinear,,0.708,0.7934967320261437,0.7735294117647058
0.25,456,10.0,l1,liblinear,balanced,0.708,0.7934967320261437,0.7735294117647058
0.25,456,10.0,l2,liblinear,,0.7156666666666667,0.7887581699346404,0.7970588235294118
0.25,456,10.0,l2,liblinear,balanced,0.7076666666666667,0.7932539682539682,0.7727941176470587
0.25,456,100.0,l1,liblinear,,0.724,0.8061111111111112,0.7852941176470587
0.25,456,100.0,l1,liblinear,balanced,0.716,0.8034967320261439,0.7735294117647058
0.25,456,100.0,l2,liblinear,,0.7076666666666667,0.800639589169001,0.7610294117647058
0.25,456,100.0,l2,liblinear,balanced,0.7076666666666667,0.800639589169001,0.7610294117647058
0.25,456,1000.0,l1,liblinear,,0.7076666666666667,0.7932539682539682,0.7727941176470587
0.25,456,1000.0,l1,liblinear,balanced,0.7156666666666667,0.8032539682539683,0.7727941176470587
0.25,456,1000.0,l2,liblinear,,0.7076666666666667,0.800639589169001,0.7610294117647058
0.25,456,1000.0,l2,liblinear,balanced,0.7076666666666667,0.800639589169001,0.7610294117647058
0.25,89,0.1,l1,liblinear,,0.593,0.7068598068598069,0.5285714285714286
0.25,89,0.1,l1,liblinear,balanced,0.6013333333333333,0.7116217116217116,0.5428571428571429
0.25,89,0.1,l2,liblinear,,0.6910000000000001,0.7351046176046176,0.7504761904761905
0.25,89,0.1,l2,liblinear,balanced,0.6663333333333333,0.7599000999001,0.64
0.25,89,1.0,l1,liblinear,,0.6666666666666666,0.7261904761904762,0.6942857142857143
0.25,89,1.0,l1,liblinear,balanced,0.6426666666666667,0.7137362637362638,0.6533333333333333
0.25,89,1.0,l2,liblinear,,0.6993333333333334,0.7490018315018314,0.7361904761904762
0.25,89,1.0,l2,liblinear,balanced,0.6586666666666667,0.7383616383616385,0.6533333333333333
0.25,89,10.0,l1,liblinear,,0.651,0.7085048285048284,0.6695238095238094
0.25,89,10.0,l1,liblinear,balanced,0.659,0.7189810189810188,0.6695238095238094
0.25,89,10.0,l2,liblinear,,0.6836666666666666,0.738974358974359,0.7104761904761905
0.25,89,10.0,l2,liblinear,balanced,0.6836666666666666,0.738974358974359,0.7104761904761905
0.25,89,100.0,l1,liblinear,,0.651,0.7014718614718615,0.6838095238095238
0.25,89,100.0,l1,liblinear,balanced,0.659,0.7090476190476191,0.6971428571428572
0.25,89,100.0,l2,liblinear,,0.6673333333333333,0.7204761904761905,0.6971428571428572
0.25,89,100.0,l2,liblinear,balanced,0.6673333333333333,0.7204761904761905,0.6971428571428572
0.25,89,1000.0,l1,liblinear,,0.6586666666666667,0.7142124542124542,0.6961904761904761
0.25,89,1000.0,l1,liblinear,balanced,0.675,0.7279853479853479,0.7095238095238094
0.25,89,1000.0,l2,liblinear,,0.6676666666666666,0.7292673992673994,0.6838095238095238
0.25,89,1000.0,l2,liblinear,balanced,0.6676666666666666,0.7292673992673994,0.6838095238095238
0.3,42,0.1,l1,liblinear,,0.6869565217391304,0.7656395891690009,0.7704761904761905
0.3,42,0.1,l1,liblinear,balanced,0.6956521739130433,0.8035589410589411,0.7038095238095238
0.3,42,0.1,l2,liblinear,,0.7652173913043478,0.8462626262626263,0.7980952380952381
0.3,42,0.1,l2,liblinear,balanced,0.7391304347826086,0.845748369277781,0.7428571428571428
0.3,42,1.0,l1,liblinear,,0.7391304347826086,0.8315873015873017,0.7704761904761905
0.3,42,1.0,l1,liblinear,balanced,0.6956521739130435,0.8250226244343892,0.702857142857143
0.3,42,1.0,l2,liblinear,,0.7391304347826086,0.8124423383633911,0.797142857142857
0.3,42,1.0,l2,liblinear,balanced,0.7304347826086955,0.835803144224197,0.7571428571428571
0.3,42,10.0,l1,liblinear,,0.6695652173913044,0.7691296869625044,0.7304761904761905
0.3,42,10.0,l1,liblinear,balanced,0.6695652173913044,0.7691296869625044,0.7304761904761905
0.3,42,10.0,l2,liblinear,,0.7217391304347825,0.8096451355661882,0.7704761904761904
0.3,42,10.0,l2,liblinear,balanced,0.7130434782608694,0.8071451355661882,0.7571428571428571
0.3,42,100.0,l1,liblinear,,0.6782608695652175,0.7716937895266069,0.7438095238095237
0.3,42,100.0,l1,liblinear,balanced,0.6869565217391304,0.7792961287078934,0.7438095238095237
0.3,42,100.0,l2,liblinear,,0.6956521739130435,0.780772430184195,0.7571428571428571
0.3,42,100.0,l2,liblinear,balanced,0.7130434782608694,0.8047474747474748,0.7571428571428571
0.3,42,1000.0,l1,liblinear,,0.6695652173913044,0.772351684263449,0.7171428571428571
0.3,42,1000.0,l1,liblinear,balanced,0.6782608695652175,0.7864542483660131,0.7171428571428571
0.3,42,1000.0,l2,liblinear,,0.7217391304347825,0.8107189542483659,0.7704761904761904
0.3,42,1000.0,l2,liblinear,balanced,0.7130434782608696,0.8074509803921568,0.7571428571428571
0.3,123,0.1,l1,liblinear,,0.6,0.7168498168498169,0.6219047619047618
0.3,123,0.1,l1,liblinear,balanced,0.6347826086956522,0.8093506493506494,0.5685714285714285
0.3,123,0.1,l2,liblinear,,0.6869565217391305,0.7926282051282052,0.7038095238095238
0.3,123,0.1,l2,liblinear,balanced,0.6521739130434783,0.7857242757242757,0.6352380952380952
0.3,123,1.0,l1,liblinear,,0.7217391304347827,0.8352380952380951,0.7314285714285714
0.3,123,1.0,l1,liblinear,balanced,0.7130434782608696,0.8543223443223443,0.6904761904761905
0.3,123,1.0,l2,liblinear,,0.7304347826086957,0.8194049088166734,0.7571428571428571
0.3,123,1.0,l2,liblinear,balanced,0.7217391304347827,0.8238461538461538,0.7295238095238095
0.3,123,10.0,l1,liblinear,,0.7478260869565216,0.8406593406593407,0.7704761904761904
0.3,123,10.0,l1,liblinear,balanced,0.7304347826086957,0.8406593406593407,0.7438095238095238
0.3,123,10.0,l2,liblinear,,0.7652173913043478,0.8381196581196579,0.7971428571428572
0.3,123,10.0,l2,liblinear,balanced,0.7565217391304347,0.8422069597069596,0.7704761904761905
0.3,123,100.0,l1,liblinear,,0.7478260869565216,0.8505128205128205,0.7571428571428571
0.3,123,100.0,l1,liblinear,balanced,0.7478260869565216,0.8505128205128205,0.7571428571428571
0.3,123,100.0,l2,liblinear,,0.7652173913043477,0.8671753246753247,0.7561904761904763
0.3,123,100.0,l2,liblinear,balanced,0.7652173913043477,0.8671753246753247,0.7561904761904763
0.3,123,1000.0,l1,liblinear,,0.7652173913043477,0.8510489510489512,0.7847619047619048
0.3,123,1000.0,l1,liblinear,balanced,0.7478260869565216,0.8475565610859729,0.7571428571428571
0.3,123,1000.0,l2,liblinear,,0.7652173913043477,0.8671753246753247,0.7561904761904763
0.3,123,1000.0,l2,liblinear,balanced,0.7652173913043477,0.8671753246753247,0.7561904761904763
0.3,456,0.1,l1,liblinear,,0.608695652173913,0.6726515151515151,0.82
0.3,456,0.1,l1,liblinear,balanced,0.608695652173913,0.8055555555555556,0.5808333333333333
0.3,456,0.1,l2,liblinear,,0.7043478260869565,0.8038638648932765,0.7591666666666667
0.3,456,0.1,l2,liblinear,balanced,0.6608695652173913,0.832978132978133,0.6333333333333333
0.3,456,1.0,l1,liblinear,,0.6782608695652174,0.7669934640522876,0.7725
0.3,456,1.0,l1,liblinear,balanced,0.6782608695652174,0.7866666666666667,0.735
0.3,456,1.0,l2,liblinear,,0.6956521739130436,0.7944444444444445,0.76
0.3,456,1.0,l2,liblinear,balanced,0.6695652173913044,0.8003030303030304,0.6958333333333333
0.3,456,10.0,l1,liblinear,,0.6521739130434783,0.7774458874458874,0.6966666666666667
0.3,456,10.0,l1,liblinear,balanced,0.6521739130434783,0.7905128205128206,0.6833333333333333
0.3,456,10.0,l2,liblinear,,0.6869565217391305,0.7970537305831423,0.7341666666666666
0.3,456,10.0,l2,liblinear,balanced,0.6956521739130435,0.8066125541125542,0.7341666666666666
0.3,456,100.0,l1,liblinear,,0.6521739130434783,0.7834539969834087,0.6958333333333333
0.3,456,100.0,l1,liblinear,balanced,0.6434782608695653,0.7805128205128204,0.6833333333333333
0.3,456,100.0,l2,liblinear,,0.6782608695652174,0.7851984126984127,0.7341666666666666
