Test Size,Random State,N_Estimators,Class Weight,Accuracy,Precision,Recall,Specificity
0.15,42,10,,0.52,0.6363636363636364,0.4666666666666667,0.6
0.15,42,10,balanced,0.64,0.7142857142857143,0.6666666666666666,0.6
0.15,42,50,,0.8,0.7777777777777778,0.9333333333333333,0.6
0.15,42,50,balanced,0.72,0.7222222222222222,0.8666666666666667,0.5
0.15,42,100,,0.8,0.8125,0.8666666666666667,0.7
0.15,42,100,balanced,0.68,0.7058823529411765,0.8,0.5
0.15,42,200,,0.76,0.7647058823529411,0.8666666666666667,0.6
0.15,42,200,balanced,0.76,0.7647058823529411,0.8666666666666667,0.6
0.15,42,500,,0.72,0.75,0.8,0.6
0.15,42,500,balanced,0.72,0.7222222222222222,0.8666666666666667,0.5
0.15,123,10,,0.76,0.7222222222222222,0.9285714285714286,0.5454545454545454
0.15,123,10,balanced,0.72,0.6842105263157895,0.9285714285714286,0.45454545454545453
0.15,123,50,,0.72,0.6842105263157895,0.9285714285714286,0.45454545454545453
0.15,123,50,balanced,0.72,0.6842105263157895,0.9285714285714286,0.45454545454545453
0.15,123,100,,0.76,0.7,1.0,0.45454545454545453
0.15,123,100,balanced,0.76,0.7222222222222222,0.9285714285714286,0.5454545454545454
0.15,123,200,,0.76,0.7,1.0,0.45454545454545453
0.15,123,200,balanced,0.72,0.6842105263157895,0.9285714285714286,0.45454545454545453
0.15,123,500,,0.76,0.7,1.0,0.45454545454545453
0.15,123,500,balanced,0.68,0.65,0.9285714285714286,0.36363636363636365
0.15,456,10,,0.52,0.42857142857142855,0.6,0.4666666666666667
0.15,456,10,balanced,0.56,0.47058823529411764,0.8,0.4
0.15,456,50,,0.56,0.47058823529411764,0.8,0.4
0.15,456,50,balanced,0.64,0.5263157894736842,1.0,0.4
0.15,456,100,,0.56,0.47058823529411764,0.8,0.4
0.15,456,100,balanced,0.64,0.5263157894736842,1.0,0.4
0.15,456,200,,0.6,0.5,0.9,0.4
0.15,456,200,balanced,0.64,0.5263157894736842,1.0,0.4
0.15,456,500,,0.6,0.5,0.9,0.4
0.15,456,500,balanced,0.64,0.5263157894736842,1.0,0.4
0.15,89,10,,0.6,0.7,0.7777777777777778,0.14285714285714285
0.15,89,10,balanced,0.6,0.75,0.6666666666666666,0.42857142857142855
0.15,89,50,,0.68,0.7777777777777778,0.7777777777777778,0.42857142857142855
0.15,89,50,balanced,0.64,0.7368421052631579,0.7777777777777778,0.2857142857142857
0.15,89,100,,0.68,0.8125,0.7222222222222222,0.5714285714285714
0.15,89,100,balanced,0.64,0.7647058823529411,0.7222222222222222,0.42857142857142855
0.15,89,200,,0.68,0.7777777777777778,0.7777777777777778,0.42857142857142855
0.15,89,200,balanced,0.64,0.7647058823529411,0.7222222222222222,0.42857142857142855
0.15,89,500,,0.72,0.7894736842105263,0.8333333333333334,0.42857142857142855
0.15,89,500,balanced,0.64,0.7647058823529411,0.7222222222222222,0.42857142857142855
0.2,42,10,,0.6363636363636364,0.7857142857142857,0.55,0.7692307692307693
0.2,42,10,balanced,0.6363636363636364,0.7857142857142857,0.55,0.7692307692307693
0.2,42,50,,0.6060606060606061,0.6842105263157895,0.65,0.5384615384615384
0.2,42,50,balanced,0.696969696969697,0.7777777777777778,0.7,0.6923076923076923
0.2,42,100,,0.696969696969697,0.7272727272727273,0.8,0.5384615384615384
0.2,42,100,balanced,0.6666666666666666,0.7142857142857143,0.75,0.5384615384615384
0.2,42,200,,0.696969696969697,0.7083333333333334,0.85,0.46153846153846156
0.2,42,200,balanced,0.7272727272727273,0.7391304347826086,0.85,0.5384615384615384
0.2,42,500,,0.7272727272727273,0.7391304347826086,0.85,0.5384615384615384
0.2,42,500,balanced,0.7272727272727273,0.7391304347826086,0.85,0.5384615384615384
0.2,123,10,,0.7575757575757576,0.7619047619047619,0.8421052631578947,0.6428571428571429
0.2,123,10,balanced,0.696969696969697,0.6956521739130435,0.8421052631578947,0.5
0.2,123,50,,0.8181818181818182,0.782608695652174,0.9473684210526315,0.6428571428571429
0.2,123,50,balanced,0.696969696969697,0.68,0.8947368421052632,0.42857142857142855
0.2,123,100,,0.8181818181818182,0.782608695652174,0.9473684210526315,0.6428571428571429
0.2,123,100,balanced,0.6666666666666666,0.6538461538461539,0.8947368421052632,0.35714285714285715
0.2,123,200,,0.7878787878787878,0.75,0.9473684210526315,0.5714285714285714
0.2,123,200,balanced,0.7272727272727273,0.7083333333333334,0.8947368421052632,0.5
0.2,123,500,,0.8181818181818182,0.782608695652174,0.9473684210526315,0.6428571428571429
0.2,123,500,balanced,0.7575757575757576,0.72,0.9473684210526315,0.5
