Accuracy,Precision,Recall,Depth,Min_Samples_Split,Min_Samples_Leaf
0.6,0.6596620553359683,0.7057142857142857,6,2,1
0.6424242424242423,0.6944683960540738,0.7547619047619047,6,2,2
0.6424242424242423,0.6956038647342996,0.7442857142857143,6,2,3
0.6606060606060605,0.6966176142697882,0.8047619047619048,6,2,4
0.6727272727272726,0.7063962703962703,0.8038095238095238,6,2,5
0.6545454545454545,0.7172566710894884,0.7242857142857143,6,2,6
0.6484848484848484,0.7152240896358544,0.7147619047619047,6,2,7
0.6242424242424243,0.7039251581639521,0.6752380952380952,6,2,8
0.6424242424242423,0.7115864853950733,0.7147619047619047,6,2,9
0.6363636363636364,0.684918501788067,0.7638095238095237,6,2,10
0.6,0.6712324653181432,0.6742857142857143,6,3,1
0.6484848484848484,0.6921020626970285,0.7742857142857142,6,3,2
0.6303030303030303,0.6971149861789249,0.7142857142857143,6,3,3
0.6424242424242423,0.6821958041958042,0.7942857142857143,6,3,4
0.6787878787878787,0.7083738725043072,0.8138095238095238,6,3,5
0.6545454545454545,0.7172566710894884,0.7242857142857143,6,3,6
0.6545454545454545,0.724047619047619,0.7147619047619047,6,3,7
0.6363636363636364,0.7147832817337461,0.6847619047619047,6,3,8
0.6424242424242423,0.7115864853950733,0.7147619047619047,6,3,9
0.6303030303030303,0.67799209486166,0.7638095238095237,6,3,10
0.6121212121212121,0.6614650856389985,0.7242857142857142,6,4,1
0.6181818181818182,0.6754991100940757,0.7257142857142858,6,4,2
0.6121212121212121,0.6922033635588621,0.6752380952380952,6,4,3
0.6242424242424243,0.6717728937728937,0.7647619047619048,6,4,4
0.7030303030303031,0.7348890240194588,0.8138095238095238,6,4,5
0.6606060606060605,0.7260802005012531,0.7242857142857143,6,4,6
0.6363636363636364,0.7052240896358544,0.7052380952380952,6,4,7
0.6363636363636364,0.7183111230762327,0.6752380952380952,6,4,8
0.6424242424242423,0.7115864853950733,0.7147619047619047,6,4,9
0.6424242424242423,0.6870830039525692,0.773809523809524,6,4,10
