Accuracy,Precision,Recall,Specificity,Depth,Min_Samples_Split,Min_Samples_Leaf,Test_Size,Random_State
0.6,0.6153846153846154,0.6,0.6,6,2,1,0.15,42
0.6,0.6,0.6,0.5454545454545454,6,2,1,0.15,123
0.56,0.6066666666666667,0.56,0.4666666666666667,6,2,1,0.15,456
0.72,0.708421052631579,0.72,0.42857142857142855,6,2,1,0.15,89
0.5454545454545454,0.5645053475935828,0.5454545454545454,0.5384615384615384,6,2,1,0.2,42
0.6060606060606061,0.61010101010101,0.6060606060606061,0.5714285714285714,6,2,1,0.2,123
0.5151515151515151,0.6278787878787878,0.5151515151515151,0.3,6,2,1,0.2,456
0.6363636363636364,0.6363636363636364,0.6363636363636364,0.4,6,2,1,0.2,89
0.6428571428571429,0.6464947089947091,0.6428571428571429,0.5882352941176471,6,2,1,0.25,42
0.5952380952380952,0.5935846560846562,0.5952380952380952,0.5263157894736842,6,2,1,0.25,123
0.6666666666666666,0.7346938775510203,0.6666666666666666,0.5,6,2,1,0.25,456
0.6666666666666666,0.7222222222222222,0.6666666666666666,0.6666666666666666,6,2,1,0.25,89
0.64,0.6373333333333333,0.64,0.5454545454545454,6,2,1,0.3,42
0.72,0.72,0.72,0.6818181818181818,6,2,1,0.3,123
0.66,0.7311904761904762,0.66,0.4444444444444444,6,2,1,0.3,456
0.58,0.6183333333333333,0.58,0.4666666666666667,6,2,1,0.3,89
0.7068965517241379,0.7048066875653082,0.7068965517241379,0.6,6,2,1,0.35,42
0.6896551724137931,0.6875133861640609,0.6896551724137931,0.6,6,2,1,0.35,123
0.5344827586206896,0.557337610264635,0.5344827586206896,0.3,6,2,1,0.35,456
0.7241379310344828,0.7736259143155696,0.7241379310344828,0.7647058823529411,6,2,1,0.35,89
0.6363636363636364,0.6549131016042781,0.6363636363636364,0.6538461538461539,6,2,1,0.4,42
0.5757575757575758,0.5757575757575758,0.5757575757575758,0.46153846153846156,6,2,1,0.4,123
0.6666666666666666,0.6723646723646723,0.6666666666666666,0.5757575757575758,6,2,1,0.4,456
0.5909090909090909,0.6423790561721596,0.5909090909090909,0.55,6,2,1,0.4,89
0.64,0.6467532467532467,0.64,0.6,6,2,2,0.15,42
0.64,0.6443589743589743,0.64,0.6363636363636364,6,2,2,0.15,123
0.64,0.6933333333333332,0.64,0.5333333333333333,6,2,2,0.15,456
0.68,0.652,0.68,0.2857142857142857,6,2,2,0.15,89
0.6060606060606061,0.6414141414141413,0.6060606060606061,0.6923076923076923,6,2,2,0.2,42
0.5757575757575758,0.5959595959595959,0.5757575757575758,0.6428571428571429,6,2,2,0.2,123
0.5151515151515151,0.5955204216073781,0.5151515151515151,0.35,6,2,2,0.2,456
0.6363636363636364,0.6572871572871573,0.6363636363636364,0.5,6,2,2,0.2,89
0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5882352941176471,6,2,2,0.25,42
0.6428571428571429,0.6506493506493507,0.6428571428571429,0.6842105263157895,6,2,2,0.25,123
0.6428571428571429,0.6769747899159664,0.6428571428571429,0.5416666666666666,6,2,2,0.25,456
0.6190476190476191,0.724025974025974,0.6190476190476191,0.75,6,2,2,0.25,89
0.64,0.64,0.64,0.5909090909090909,6,2,2,0.3,42
0.72,0.72,0.72,0.6818181818181818,6,2,2,0.3,123
0.54,0.5771428571428572,0.54,0.3333333333333333,6,2,2,0.3,456
0.64,0.668251273344652,0.64,0.5333333333333333,6,2,2,0.3,89
0.6896551724137931,0.6896551724137931,0.6896551724137931,0.64,6,2,2,0.35,42
0.7758620689655172,0.7772712201591512,0.7758620689655172,0.76,6,2,2,0.35,123
0.603448275862069,0.6359273734725178,0.603448275862069,0.4,6,2,2,0.35,456
0.6551724137931034,0.7231491780991226,0.6551724137931034,0.7058823529411765,6,2,2,0.35,89
0.6212121212121212,0.6362239910627008,0.6212121212121212,0.6153846153846154,6,2,2,0.4,42
0.5454545454545454,0.5579124579124579,0.5454545454545454,0.5,6,2,2,0.4,123
0.5909090909090909,0.5930451127819548,0.5909090909090909,0.5151515151515151,6,2,2,0.4,456
0.5454545454545454,0.6296791443850268,0.5454545454545454,0.6,6,2,2,0.4,89
0.6,0.6153846153846154,0.6,0.6,6,2,3,0.15,42
0.68,0.68,0.68,0.6363636363636364,6,2,3,0.15,123
0.6,0.7142857142857142,0.6,0.4,6,2,3,0.15,456
0.68,0.7094444444444444,0.68,0.5714285714285714,6,2,3,0.15,89
0.5757575757575758,0.6020499108734403,0.5757575757575758,0.6153846153846154,6,2,3,0.2,42
0.5757575757575758,0.5757575757575758,0.5757575757575758,0.5,6,2,3,0.2,123
0.6060606060606061,0.6928374655647382,0.6060606060606061,0.45,6,2,3,0.2,456
0.6666666666666666,0.6763085399449036,0.6666666666666666,0.5,6,2,3,0.2,89
0.7380952380952381,0.7501082251082252,0.7380952380952381,0.7647058823529411,6,2,3,0.25,42
0.6190476190476191,0.6190476190476191,0.6190476190476191,0.5789473684210527,6,2,3,0.25,123
0.6428571428571429,0.6952380952380953,0.6428571428571429,0.5,6,2,3,0.25,456
0.7619047619047619,0.7755102040816326,0.7619047619047619,0.6666666666666666,6,2,3,0.25,89
0.62,0.6183251231527094,0.62,0.5454545454545454,6,2,3,0.3,42
0.78,0.7809168081494058,0.78,0.6818181818181818,6,2,3,0.3,123
0.62,0.6798412698412699,0.62,0.4074074074074074,6,2,3,0.3,456
0.7,0.7333333333333334,0.7,0.6666666666666666,6,2,3,0.3,89
0.6724137931034483,0.6741959549071619,0.6724137931034483,0.64,6,2,3,0.35,42
0.7586206896551724,0.7575069608053117,0.7586206896551724,0.68,6,2,3,0.35,123
0.5689655172413793,0.6155614500442087,0.5689655172413793,0.3,6,2,3,0.35,456
0.6896551724137931,0.7568079759403452,0.6896551724137931,0.7647058823529411,6,2,3,0.35,89
0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5769230769230769,6,2,3,0.4,42
0.5151515151515151,0.5343694295900178,0.5151515151515151,0.5,6,2,3,0.4,123
0.6363636363636364,0.6448780487804878,0.6363636363636364,0.5151515151515151,6,2,3,0.4,456
0.5303030303030303,0.6210026532607178,0.5303030303030303,0.6,6,2,3,0.4,89
0.64,0.6467532467532467,0.64,0.6,6,2,4,0.15,42
0.68,0.68,0.68,0.6363636363636364,6,2,4,0.15,123
0.64,0.7367647058823529,0.64,0.4666666666666667,6,2,4,0.15,456
0.6,0.6333333333333333,0.6,0.42857142857142855,6,2,4,0.15,89
0.6666666666666666,0.6850490196078431,0.6666666666666666,0.6923076923076923,6,2,4,0.2,42
0.5151515151515151,0.5340067340067339,0.5151515151515151,0.5714285714285714,6,2,4,0.2,123
0.6060606060606061,0.6631701631701632,0.6060606060606061,0.5,6,2,4,0.2,456
0.7878787878787878,0.7947658402203857,0.7878787878787878,0.7,6,2,4,0.2,89
0.6904761904761905,0.7321428571428572,0.6904761904761905,0.8235294117647058,6,2,4,0.25,42
0.5952380952380952,0.5935846560846562,0.5952380952380952,0.5263157894736842,6,2,4,0.25,123
0.5476190476190477,0.6025009473285335,0.5476190476190477,0.375,6,2,4,0.25,456
0.7142857142857143,0.7678571428571429,0.7142857142857143,0.75,6,2,4,0.25,89
0.6,0.5966666666666667,0.6,0.5,6,2,4,0.3,42
0.72,0.72,0.72,0.6818181818181818,6,2,4,0.3,123
0.56,0.6100623700623701,0.56,0.3333333333333333,6,2,4,0.3,456
0.68,0.7066213921901527,0.68,0.6,6,2,4,0.3,89
0.6379310344827587,0.6445812807881773,0.6379310344827587,0.64,6,2,4,0.35,42
0.7758620689655172,0.7772712201591512,0.7758620689655172,0.76,6,2,4,0.35,123
0.6379310344827587,0.6944667201283079,0.6379310344827587,0.4,6,2,4,0.35,456
0.603448275862069,0.6979064039408867,0.603448275862069,0.7058823529411765,6,2,4,0.35,89
0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5769230769230769,6,2,4,0.4,42
0.48484848484848486,0.4776334776334776,0.48484848484848486,0.3076923076923077,6,2,4,0.4,123
0.6212121212121212,0.6240601503759399,0.6212121212121212,0.5454545454545454,6,2,4,0.4,456
0.6212121212121212,0.6716653958033268,0.6212121212121212,0.6,6,2,4,0.4,89
0.72,0.7259740259740259,0.72,0.7,6,2,5,0.15,42
0.68,0.68,0.68,0.6363636363636364,6,2,5,0.15,123
0.56,0.6066666666666667,0.56,0.4666666666666667,6,2,5,0.15,456
0.64,0.688,0.64,0.5714285714285714,6,2,5,0.15,89
0.6060606060606061,0.624777183600713,0.6060606060606061,0.6153846153846154,6,2,5,0.2,42
0.6060606060606061,0.5977961432506886,0.6060606060606061,0.42857142857142855,6,2,5,0.2,123
0.6060606060606061,0.6414141414141413,0.6060606060606061,0.55,6,2,5,0.2,456
0.696969696969697,0.696969696969697,0.696969696969697,0.5,6,2,5,0.2,89
0.6428571428571429,0.6555194805194806,0.6428571428571429,0.6470588235294118,6,2,5,0.25,42
0.6428571428571429,0.6415343915343915,0.6428571428571429,0.5789473684210527,6,2,5,0.25,123
0.6666666666666666,0.7346938775510203,0.6666666666666666,0.5,6,2,5,0.25,456
0.6190476190476191,0.6565934065934066,0.6190476190476191,0.5,6,2,5,0.25,89
0.62,0.6160271646859082,0.62,0.5,6,2,5,0.3,42
0.66,0.6585878489326765,0.66,0.5909090909090909,6,2,5,0.3,123
0.56,0.6286247086247085,0.56,0.2962962962962963,6,2,5,0.3,456
0.72,0.7315508021390374,0.72,0.6,6,2,5,0.3,89
0.6379310344827587,0.6398375331564986,0.6379310344827587,0.6,6,2,5,0.35,42
0.7758620689655172,0.7772712201591512,0.7758620689655172,0.76,6,2,5,0.35,123
0.5689655172413793,0.5937268094790482,0.5689655172413793,0.36666666666666664,6,2,5,0.35,456
0.7068965517241379,0.7232304900181488,0.7068965517241379,0.5882352941176471,6,2,5,0.35,89
0.6515151515151515,0.6492830746489283,0.6515151515151515,0.5384615384615384,6,2,5,0.4,42
0.5151515151515151,0.5215880610617453,0.5151515151515151,0.4230769230769231,6,2,5,0.4,123
0.5,0.5,0.5,0.3333333333333333,6,2,5,0.4,456
0.6666666666666666,0.7092731829573935,0.6666666666666666,0.65,6,2,5,0.4,89
0.64,0.6467532467532467,0.64,0.6,6,2,6,0.15,42
0.68,0.68,0.68,0.6363636363636364,6,2,6,0.15,123
0.52,0.5532467532467532,0.52,0.4666666666666667,6,2,6,0.15,456
0.64,0.688,0.64,0.5714285714285714,6,2,6,0.15,89
0.696969696969697,0.7077441077441077,0.696969696969697,0.6923076923076923,6,2,6,0.2,42
0.5454545454545454,0.5412587412587413,0.5454545454545454,0.42857142857142855,6,2,6,0.2,123
0.6363636363636364,0.6631016042780749,0.6363636363636364,0.6,6,2,6,0.2,456
0.6363636363636364,0.6572871572871573,0.6363636363636364,0.5,6,2,6,0.2,89
0.6904761904761905,0.7321428571428572,0.6904761904761905,0.8235294117647058,6,2,6,0.25,42
0.6904761904761905,0.6947278911564626,0.6904761904761905,0.5263157894736842,6,2,6,0.25,123
0.6904761904761905,0.7277310924369748,0.6904761904761905,0.5833333333333334,6,2,6,0.25,456
0.6666666666666666,0.7222222222222222,0.6666666666666666,0.6666666666666666,6,2,6,0.25,89
0.6,0.5966666666666667,0.6,0.5,6,2,6,0.3,42
0.72,0.7202777777777777,0.72,0.5909090909090909,6,2,6,0.3,123
0.64,0.7503962703962703,0.64,0.37037037037037035,6,2,6,0.3,456
0.64,0.72,0.64,0.7333333333333333,6,2,6,0.3,89
0.6896551724137931,0.6935277880772875,0.6896551724137931,0.68,6,2,6,0.35,42
0.7241379310344828,0.7241379310344828,0.7241379310344828,0.68,6,2,6,0.35,123
0.603448275862069,0.6902554525445208,0.603448275862069,0.3,6,2,6,0.35,456
0.7413793103448276,0.7564882032667877,0.7413793103448276,0.6470588235294118,6,2,6,0.35,89
0.696969696969697,0.696969696969697,0.696969696969697,0.6153846153846154,6,2,6,0.4,42
0.5909090909090909,0.5937149270482603,0.5909090909090909,0.5,6,2,6,0.4,123
0.5454545454545454,0.5482926829268293,0.5454545454545454,0.42424242424242425,6,2,6,0.4,456
0.6515151515151515,0.677309682187731,0.6515151515151515,0.55,6,2,6,0.4,89
0.6,0.6153846153846154,0.6,0.6,6,2,7,0.15,42
0.68,0.68,0.68,0.6363636363636364,6,2,7,0.15,123
0.48,0.52,0.48,0.4,6,2,7,0.15,456
0.52,0.5572222222222222,0.52,0.2857142857142857,6,2,7,0.15,89
0.696969696969697,0.6914600550964188,0.696969696969697,0.5384615384615384,6,2,7,0.2,42
0.5454545454545454,0.5412587412587413,0.5454545454545454,0.42857142857142855,6,2,7,0.2,123
0.6060606060606061,0.6414141414141413,0.6060606060606061,0.55,6,2,7,0.2,456
0.6060606060606061,0.5690975690975691,0.6060606060606061,0.2,6,2,7,0.2,89
0.5952380952380952,0.6190476190476191,0.5952380952380952,0.6470588235294118,6,2,7,0.25,42
0.6666666666666666,0.6719717064544651,0.6666666666666666,0.47368421052631576,6,2,7,0.25,123
0.7142857142857143,0.7637362637362638,0.7142857142857143,0.5833333333333334,6,2,7,0.25,456
0.6666666666666666,0.7222222222222222,0.6666666666666666,0.6666666666666666,6,2,7,0.25,89
0.6,0.5966666666666667,0.6,0.5,6,2,7,0.3,42
0.68,0.6813235294117647,0.68,0.5,6,2,7,0.3,123
0.62,0.64875,0.62,0.48148148148148145,6,2,7,0.3,456
0.68,0.6681912681912682,0.68,0.4,6,2,7,0.3,89
0.6896551724137931,0.6935277880772875,0.6896551724137931,0.68,6,2,7,0.35,42
0.7413793103448276,0.740203761755486,0.7413793103448276,0.64,6,2,7,0.35,123
0.5862068965517241,0.6502998500749626,0.5862068965517241,0.3,6,2,7,0.35,456
0.7068965517241379,0.7019704433497537,0.7068965517241379,0.47058823529411764,6,2,7,0.35,89
0.696969696969697,0.696969696969697,0.696969696969697,0.6153846153846154,6,2,7,0.4,42
0.6060606060606061,0.624777183600713,0.6060606060606061,0.6153846153846154,6,2,7,0.4,123
0.5606060606060606,0.5611111111111111,0.5606060606060606,0.6060606060606061,6,2,7,0.4,456
0.6060606060606061,0.6060606060606061,0.6060606060606061,0.35,6,2,7,0.4,89
0.72,0.7166666666666666,0.72,0.6,6,2,8,0.15,42
0.68,0.68,0.68,0.6363636363636364,6,2,8,0.15,123
0.52,0.575,0.52,0.4,6,2,8,0.15,456
0.52,0.5572222222222222,0.52,0.2857142857142857,6,2,8,0.15,89
0.696969696969697,0.6914600550964188,0.696969696969697,0.5384615384615384,6,2,8,0.2,42
0.5454545454545454,0.5412587412587413,0.5454545454545454,0.42857142857142855,6,2,8,0.2,123
0.5454545454545454,0.5645053475935828,0.5454545454545454,0.55,6,2,8,0.2,456
0.6060606060606061,0.5690975690975691,0.6060606060606061,0.2,6,2,8,0.2,89
0.5952380952380952,0.6190476190476191,0.5952380952380952,0.6470588235294118,6,2,8,0.25,42
0.6666666666666666,0.6719717064544651,0.6666666666666666,0.47368421052631576,6,2,8,0.25,123
0.6428571428571429,0.6769747899159664,0.6428571428571429,0.5416666666666666,6,2,8,0.25,456
0.6666666666666666,0.7222222222222222,0.6666666666666666,0.6666666666666666,6,2,8,0.25,89
0.68,0.6813235294117647,0.68,0.5,6,2,8,0.3,42
0.68,0.6876190476190476,0.68,0.45454545454545453,6,2,8,0.3,123
0.6,0.726829268292683,0.6,0.2962962962962963,6,2,8,0.3,456
0.62,0.58,0.62,0.2,6,2,8,0.3,89
0.6551724137931034,0.6646848989298454,0.6551724137931034,0.68,6,2,8,0.35,42
0.6551724137931034,0.6525165988434355,0.6551724137931034,0.56,6,2,8,0.35,123
0.5517241379310345,0.5695402298850576,0.5517241379310345,0.36666666666666664,6,2,8,0.35,456
0.7068965517241379,0.7019704433497537,0.7068965517241379,0.47058823529411764,6,2,8,0.35,89
0.6666666666666666,0.6716791979949874,0.6666666666666666,0.6153846153846154,6,2,8,0.4,42
0.6060606060606061,0.624777183600713,0.6060606060606061,0.6153846153846154,6,2,8,0.4,123
0.5909090909090909,0.5951923076923077,0.5909090909090909,0.48484848484848486,6,2,8,0.4,456
0.6363636363636364,0.6041458541458542,0.6363636363636364,0.25,6,2,8,0.4,89
0.72,0.7166666666666666,0.72,0.6,6,2,9,0.15,42
0.68,0.6783333333333332,0.68,0.5454545454545454,6,2,9,0.15,123
0.56,0.5675324675324676,0.56,0.6,6,2,9,0.15,456
0.52,0.5572222222222222,0.52,0.2857142857142857,6,2,9,0.15,89
0.696969696969697,0.6914600550964188,0.696969696969697,0.5384615384615384,6,2,9,0.2,42
0.5757575757575758,0.5625823451910409,0.5757575757575758,0.35714285714285715,6,2,9,0.2,123
0.5454545454545454,0.5645053475935828,0.5454545454545454,0.55,6,2,9,0.2,456
0.6060606060606061,0.5690975690975691,0.6060606060606061,0.2,6,2,9,0.2,89
0.5952380952380952,0.6190476190476191,0.5952380952380952,0.6470588235294118,6,2,9,0.25,42
0.6666666666666666,0.6719717064544651,0.6666666666666666,0.47368421052631576,6,2,9,0.25,123
0.6666666666666666,0.7666666666666667,0.6666666666666666,0.4583333333333333,6,2,9,0.25,456
0.6190476190476191,0.6987012987012987,0.6190476190476191,0.6666666666666666,6,2,9,0.25,89
0.68,0.6813235294117647,0.68,0.5,6,2,9,0.3,42
0.68,0.6876190476190476,0.68,0.45454545454545453,6,2,9,0.3,123
0.66,0.7613157894736843,0.66,0.4074074074074074,6,2,9,0.3,456
0.62,0.58,0.62,0.2,6,2,9,0.3,89
0.6551724137931034,0.6646848989298454,0.6551724137931034,0.68,6,2,9,0.35,42
0.6379310344827587,0.6351600985221675,0.6379310344827587,0.4,6,2,9,0.35,123
