Test Size,Random State,N_Estimators,Class Weight,Accuracy,Precision,Recall,Specificity
0.15,42,10,,0.68,0.7692307692307693,0.6666666666666666,0.7
0.15,42,10,balanced,0.56,0.625,0.6666666666666666,0.4
0.15,42,50,,0.68,0.7058823529411765,0.8,0.5
0.15,42,50,balanced,0.72,0.7222222222222222,0.8666666666666667,0.5
0.15,42,100,,0.72,0.75,0.8,0.6
0.15,42,100,balanced,0.76,0.7647058823529411,0.8666666666666667,0.6
0.15,42,200,,0.72,0.7222222222222222,0.8666666666666667,0.5
0.15,42,200,balanced,0.72,0.7222222222222222,0.8666666666666667,0.5
0.15,42,500,,0.8,0.8125,0.8666666666666667,0.7
0.15,42,500,balanced,0.68,0.7058823529411765,0.8,0.5
0.15,123,10,,0.68,0.6875,0.7857142857142857,0.5454545454545454
0.15,123,10,balanced,0.76,0.7,1.0,0.45454545454545453
0.15,123,50,,0.8,0.7368421052631579,1.0,0.5454545454545454
0.15,123,50,balanced,0.72,0.7058823529411765,0.8571428571428571,0.5454545454545454
0.15,123,100,,0.76,0.7,1.0,0.45454545454545453
0.15,123,100,balanced,0.68,0.6666666666666666,0.8571428571428571,0.45454545454545453
0.15,123,200,,0.76,0.7,1.0,0.45454545454545453
0.15,123,200,balanced,0.72,0.6842105263157895,0.9285714285714286,0.45454545454545453
0.15,123,500,,0.76,0.7,1.0,0.45454545454545453
0.15,123,500,balanced,0.72,0.6842105263157895,0.9285714285714286,0.45454545454545453
0.15,456,10,,0.52,0.4375,0.7,0.4
0.15,456,10,balanced,0.6,0.5,0.7,0.5333333333333333
0.15,456,50,,0.56,0.4666666666666667,0.7,0.4666666666666667
0.15,456,50,balanced,0.6,0.5,0.8,0.4666666666666667
0.15,456,100,,0.56,0.47058823529411764,0.8,0.4
0.15,456,100,balanced,0.56,0.47058823529411764,0.8,0.4
0.15,456,200,,0.56,0.47058823529411764,0.8,0.4
0.15,456,200,balanced,0.6,0.5,0.9,0.4
0.15,456,500,,0.56,0.47058823529411764,0.8,0.4
0.15,456,500,balanced,0.6,0.5,0.9,0.4
0.15,89,10,,0.76,0.8333333333333334,0.8333333333333334,0.5714285714285714
0.15,89,10,balanced,0.56,0.7058823529411765,0.6666666666666666,0.2857142857142857
0.15,89,50,,0.72,0.7894736842105263,0.8333333333333334,0.42857142857142855
0.15,89,50,balanced,0.64,0.7368421052631579,0.7777777777777778,0.2857142857142857
0.15,89,100,,0.68,0.75,0.8333333333333334,0.2857142857142857
0.15,89,100,balanced,0.68,0.7777777777777778,0.7777777777777778,0.42857142857142855
0.15,89,200,,0.72,0.7894736842105263,0.8333333333333334,0.42857142857142855
0.15,89,200,balanced,0.72,0.7894736842105263,0.8333333333333334,0.42857142857142855
0.15,89,500,,0.64,0.7368421052631579,0.7777777777777778,0.2857142857142857
0.15,89,500,balanced,0.72,0.7894736842105263,0.8333333333333334,0.42857142857142855
0.2,42,10,,0.5757575757575758,0.6875,0.55,0.6153846153846154
0.2,42,10,balanced,0.5757575757575758,0.6666666666666666,0.6,0.5384615384615384
0.2,42,50,,0.7575757575757576,0.7727272727272727,0.85,0.6153846153846154
0.2,42,50,balanced,0.6060606060606061,0.6842105263157895,0.65,0.5384615384615384
0.2,42,100,,0.7575757575757576,0.7727272727272727,0.85,0.6153846153846154
0.2,42,100,balanced,0.7272727272727273,0.7619047619047619,0.8,0.6153846153846154
0.2,42,200,,0.7575757575757576,0.7727272727272727,0.85,0.6153846153846154
0.2,42,200,balanced,0.7575757575757576,0.75,0.9,0.5384615384615384
0.2,42,500,,0.696969696969697,0.7272727272727273,0.8,0.5384615384615384
0.2,42,500,balanced,0.7272727272727273,0.7391304347826086,0.85,0.5384615384615384
0.2,123,10,,0.696969696969697,0.7368421052631579,0.7368421052631579,0.6428571428571429
0.2,123,10,balanced,0.8181818181818182,0.8421052631578947,0.8421052631578947,0.7857142857142857
0.2,123,50,,0.7272727272727273,0.6923076923076923,0.9473684210526315,0.42857142857142855
0.2,123,50,balanced,0.7272727272727273,0.6923076923076923,0.9473684210526315,0.42857142857142855
0.2,123,100,,0.7272727272727273,0.6923076923076923,0.9473684210526315,0.42857142857142855
0.2,123,100,balanced,0.7272727272727273,0.6923076923076923,0.9473684210526315,0.42857142857142855
0.2,123,200,,0.7272727272727273,0.6923076923076923,0.9473684210526315,0.42857142857142855
0.2,123,200,balanced,0.7272727272727273,0.6923076923076923,0.9473684210526315,0.42857142857142855
0.2,123,500,,0.7575757575757576,0.72,0.9473684210526315,0.5
0.2,123,500,balanced,0.7575757575757576,0.72,0.9473684210526315,0.5
0.2,456,10,,0.6363636363636364,0.5217391304347826,0.9230769230769231,0.45
0.2,456,10,balanced,0.6060606060606061,0.5,0.8461538461538461,0.45
0.2,456,50,,0.6060606060606061,0.5,0.8461538461538461,0.45
0.2,456,50,balanced,0.6363636363636364,0.5217391304347826,0.9230769230769231,0.45
0.2,456,100,,0.6060606060606061,0.5,1.0,0.35
0.2,456,100,balanced,0.6060606060606061,0.5,1.0,0.35
0.2,456,200,,0.6363636363636364,0.52,1.0,0.4
0.2,456,200,balanced,0.6060606060606061,0.5,1.0,0.35
0.2,456,500,,0.6060606060606061,0.5,1.0,0.35
