Accuracy,Precision,Recall,Depth,Min_Samples_Split,Min_Samples_Leaf
0.6484848484848484,0.7072472625413802,0.7238095238095238,6,2,1
0.6545454545454545,0.7250121350807849,0.7157142857142857,6,2,2
0.6363636363636364,0.7285810113519092,0.6576190476190477,6,2,3
0.6,0.6834358623832307,0.6561904761904762,6,2,4
0.6303030303030303,0.6883767340928467,0.7352380952380952,6,2,5
0.6242424242424243,0.6986868686868687,0.6857142857142857,6,2,6
0.6181818181818182,0.6788787878787879,0.7257142857142858,6,2,7
0.6181818181818182,0.6775362318840579,0.7247619047619048,6,2,8
0.6181818181818182,0.6759599096555619,0.7361904761904762,6,2,9
0.6181818181818182,0.6760587238848108,0.7357142857142858,6,2,10
0.6484848484848484,0.7125913870159394,0.7157142857142856,6,3,1
0.6484848484848484,0.728917748917749,0.6957142857142857,6,3,2
0.6424242424242423,0.7174310883773799,0.6957142857142855,6,3,3
0.6242424242424243,0.7001020947016371,0.7052380952380952,6,3,4
0.6121212121212121,0.6690408432147562,0.7347619047619047,6,3,5
0.6060606060606061,0.6784848484848485,0.6857142857142857,6,3,6
0.6121212121212121,0.6730069930069931,0.7257142857142858,6,3,7
0.6181818181818182,0.6817028985507246,0.7147619047619047,6,3,8
0.6121212121212121,0.6734236777715038,0.726190476190476,6,3,9
0.6181818181818182,0.6760587238848108,0.7357142857142858,6,3,10
0.6787878787878787,0.7489465351357935,0.7252380952380952,6,4,1
0.6787878787878787,0.7440413082228939,0.7352380952380952,6,4,2
0.6363636363636364,0.7308346954342377,0.667142857142857,6,4,3
0.593939393939394,0.7091068580542264,0.6461904761904762,6,4,4
0.606060606060606,0.6747733085328994,0.7057142857142857,6,4,5
0.6242424242424243,0.6942424242424241,0.6957142857142857,6,4,6
0.6060606060606061,0.6705454545454546,0.7157142857142857,6,4,7
0.6181818181818182,0.6775362318840579,0.7247619047619048,6,4,8
0.6181818181818182,0.6759599096555619,0.7361904761904762,6,4,9
0.6181818181818182,0.6760587238848108,0.7357142857142858,6,4,10
0.6484848484848484,0.7184704184704185,0.7057142857142857,6,5,1
0.6363636363636364,0.7113704823167739,0.6957142857142857,6,5,2
0.6303030303030303,0.7232971014492754,0.6571428571428571,6,5,3
0.593939393939394,0.6888565286734623,0.6466666666666667,6,5,4
0.6181818181818182,0.6757272727272727,0.7357142857142858,6,5,5
0.6363636363636364,0.7012159962799349,0.7157142857142859,6,5,6
0.6181818181818182,0.6788787878787879,0.7257142857142858,6,5,7
0.6181818181818182,0.6775362318840579,0.7247619047619048,6,5,8
0.6181818181818182,0.6759599096555619,0.7361904761904762,6,5,9
0.6181818181818182,0.6760587238848108,0.7357142857142858,6,5,10
0.6666666666666666,0.7260187276491624,0.7347619047619046,6,6,1
0.6424242424242423,0.7160606060606061,0.6952380952380952,6,6,2
0.6060606060606061,0.7057814992025518,0.627142857142857,6,6,3
0.6121212121212121,0.6973748219743643,0.6852380952380953,6,6,4
0.5999999999999999,0.6644953886693017,0.7157142857142857,6,6,5
0.6242424242424243,0.6906060606060606,0.7057142857142857,6,6,6
0.6121212121212121,0.6756179183135705,0.7157142857142857,6,6,7
0.6181818181818182,0.6817028985507246,0.7147619047619047,6,6,8
0.6181818181818182,0.6759599096555619,0.7361904761904762,6,6,9
0.6181818181818182,0.6760587238848108,0.7357142857142858,6,6,10
0.6606060606060605,0.7252397928868517,0.7247619047619047,6,7,1
0.6727272727272726,0.7361924195515528,0.7357142857142858,6,7,2
0.6545454545454545,0.7371014492753624,0.6961904761904761,6,7,3
0.6060606060606061,0.6917927229140044,0.6661904761904761,6,7,4
0.5878787878787879,0.6570487483530962,0.6952380952380952,6,7,5
0.6303030303030303,0.6933728590250329,0.7157142857142859,6,7,6
0.6121212121212121,0.6756179183135705,0.7157142857142857,6,7,7
0.6181818181818182,0.6775362318840579,0.7247619047619048,6,7,8
0.6181818181818182,0.6759599096555619,0.7361904761904762,6,7,9
0.6181818181818182,0.6760587238848108,0.7357142857142858,6,7,10
0.6424242424242423,0.7303437738731856,0.6666666666666667,6,8,1
0.6727272727272726,0.744904540763674,0.7266666666666668,6,8,2
0.6,0.6969231961559327,0.6376190476190476,6,8,3
0.6060606060606061,0.6865979177191991,0.6657142857142857,6,8,4
0.5757575757575757,0.6503451910408432,0.6866666666666668,6,8,5
0.6424242424242423,0.703752228163993,0.7257142857142858,6,8,6
0.6060606060606061,0.6705454545454546,0.7157142857142857,6,8,7
0.6181818181818182,0.6817028985507246,0.7147619047619047,6,8,8
0.6181818181818182,0.6759599096555619,0.7361904761904762,6,8,9
0.6181818181818182,0.6760587238848108,0.7357142857142858,6,8,10
0.6606060606060605,0.7269577396175861,0.7152380952380952,6,9,1
0.6606060606060605,0.7279430460208492,0.7161904761904763,6,9,2
0.6060606060606061,0.7016628527841343,0.6371428571428571,6,9,3
0.6303030303030303,0.7350466911679726,0.6757142857142857,6,9,4
0.5999999999999999,0.6669301712779973,0.7057142857142857,6,9,5
0.6303030303030303,0.7016108452950558,0.6957142857142857,6,9,6
0.6303030303030303,0.6872121212121212,0.7357142857142858,6,9,7
0.6181818181818182,0.6775362318840579,0.7247619047619048,6,9,8
0.6181818181818182,0.6759599096555619,0.7361904761904762,6,9,9
0.6181818181818182,0.6760587238848108,0.7357142857142858,6,9,10
0.6484848484848484,0.7114376851218956,0.7152380952380952,6,10,1
0.6303030303030303,0.7033295194508009,0.6961904761904762,6,10,2
0.6303030303030303,0.6929872758820127,0.7357142857142857,6,10,3
0.6303030303030303,0.6927412841566832,0.7252380952380952,6,10,4
0.6242424242424243,0.6835704099821748,0.7357142857142858,6,10,5
0.6242424242424243,0.6906060606060606,0.7057142857142857,6,10,6
0.6242424242424243,0.6813403263403263,0.7357142857142858,6,10,7
0.6181818181818182,0.6817028985507246,0.7147619047619047,6,10,8
0.6121212121212121,0.6734236777715038,0.726190476190476,6,10,9
0.6181818181818182,0.6760587238848108,0.7357142857142858,6,10,10
0.6484848484848484,0.7342927170868346,0.6761904761904762,7,2,1
0.6666666666666666,0.7349651302168465,0.7352380952380952,7,2,2
0.6181818181818182,0.6961594202898551,0.6666666666666667,7,2,3
0.6,0.6875013621009045,0.6566666666666666,7,2,4
0.5818181818181818,0.6581883282957453,0.6866666666666668,7,2,5
0.6363636363636364,0.6952121212121212,0.7257142857142858,7,2,6
0.6060606060606061,0.6705454545454546,0.7157142857142857,7,2,7
0.6242424242424243,0.6842391304347826,0.7247619047619047,7,2,8
0.6181818181818182,0.6759599096555619,0.7361904761904762,7,2,9
0.6181818181818182,0.6760587238848108,0.7357142857142858,7,2,10
0.6545454545454545,0.7317460317460318,0.6966666666666667,7,3,1
0.6606060606060605,0.7290656565656566,0.7161904761904763,7,3,2
0.6121212121212121,0.6829392321383168,0.6952380952380952,7,3,3
0.6,0.7161072972285787,0.6457142857142857,7,3,4
0.5939393939393939,0.6636428737502907,0.7057142857142857,7,3,5
0.6121212121212121,0.6845454545454545,0.6857142857142857,7,3,6
0.6242424242424243,0.6813403263403263,0.7357142857142858,7,3,7
0.6181818181818182,0.6817028985507246,0.7147619047619047,7,3,8
0.6181818181818182,0.6759599096555619,0.7361904761904762,7,3,9
0.6181818181818182,0.6760587238848108,0.7357142857142858,7,3,10
0.6848484848484848,0.748544891640867,0.7352380952380952,7,4,1
0.6787878787878787,0.7413087395696092,0.7347619047619048,7,4,2
0.6545454545454545,0.727348138131891,0.7052380952380952,7,4,3
0.593939393939394,0.6829257927427264,0.6566666666666666,7,4,4
0.5818181818181818,0.6522424242424243,0.6957142857142857,7,4,5
0.6181818181818182,0.6845454545454545,0.7057142857142857,7,4,6
0.6181818181818182,0.6788787878787879,0.7257142857142858,7,4,7
0.6242424242424243,0.6800724637681159,0.7347619047619048,7,4,8
0.6181818181818182,0.6759599096555619,0.7361904761904762,7,4,9
0.6181818181818182,0.6760587238848108,0.7357142857142858,7,4,10
0.6545454545454545,0.7329297552180847,0.6947619047619047,7,5,1
0.6727272727272726,0.7500025799793602,0.7066666666666668,7,5,2
0.6060606060606061,0.6748976982097186,0.7057142857142857,7,5,3
0.6424242424242423,0.7607932875667429,0.6757142857142858,7,5,4
0.6121212121212121,0.677671859257537,0.7157142857142856,7,5,5
0.6363636363636364,0.7007219251336899,0.7157142857142857,7,5,6
0.6181818181818182,0.6788787878787879,0.7257142857142858,7,5,7
0.6181818181818182,0.6817028985507246,0.7147619047619047,7,5,8
0.6121212121212121,0.6734236777715038,0.726190476190476,7,5,9
0.6181818181818182,0.6760587238848108,0.7357142857142858,7,5,10
0.6727272727272726,0.7369659326181065,0.7352380952380952,7,6,1
0.6545454545454545,0.7250121350807849,0.7157142857142857,7,6,2
0.6424242424242423,0.7113565320726446,0.7152380952380952,7,6,3
0.593939393939394,0.688329519450801,0.6461904761904761,7,6,4
0.5878787878787879,0.6546139657444006,0.7052380952380952,7,6,5
0.6363636363636364,0.6959090909090909,0.7257142857142858,7,6,6
0.6303030303030303,0.6872121212121212,0.7357142857142858,7,6,7
0.6242424242424243,0.6800724637681159,0.7347619047619048,7,6,8
0.6181818181818182,0.6759599096555619,0.7361904761904762,7,6,9
0.6181818181818182,0.6760587238848108,0.7357142857142858,7,6,10
0.6727272727272726,0.747905581204814,0.7152380952380952,7,7,1
0.6606060606060605,0.7363439347030678,0.7057142857142857,7,7,2
0.6121212121212121,0.7047364953886693,0.6476190476190476,7,7,3
0.6121212121212121,0.6992602553815369,0.6657142857142857,7,7,4
0.6181818181818182,0.6776086181508176,0.7352380952380952,7,7,5
0.6303030303030303,0.6981856932496319,0.7057142857142857,7,7,6
0.6181818181818182,0.6788787878787879,0.7257142857142858,7,7,7
0.6181818181818182,0.6775362318840579,0.7247619047619048,7,7,8
0.6121212121212121,0.6734236777715038,0.726190476190476,7,7,9
0.6181818181818182,0.6760587238848108,0.7357142857142858,7,7,10
0.6303030303030303,0.7092522974101921,0.6757142857142857,7,8,1
0.6424242424242423,0.7151570048309178,0.7061904761904761,7,8,2
0.6121212121212121,0.6884757182812102,0.6866666666666666,7,8,3
0.5878787878787879,0.6820539110012794,0.6552380952380952,7,8,4
0.593939393939394,0.6648918856079982,0.6952380952380952,7,8,5
0.6303030303030303,0.7064236795196548,0.6857142857142857,7,8,6
0.6181818181818182,0.6788787878787879,0.7257142857142858,7,8,7
0.6181818181818182,0.6817028985507246,0.7147619047619047,7,8,8
0.6121212121212121,0.6734236777715038,0.726190476190476,7,8,9
0.6181818181818182,0.6760587238848108,0.7357142857142858,7,8,10
0.6424242424242423,0.7203221288515407,0.6861904761904762,7,9,1
0.6303030303030303,0.7115942028985506,0.6771428571428572,7,9,2
0.6060606060606061,0.7040637851850666,0.6371428571428571,7,9,3
0.5818181818181818,0.6598446709659525,0.6652380952380953,7,9,4
0.5878787878787878,0.6590408432147562,0.6966666666666667,7,9,5
0.6242424242424243,0.6990552584670231,0.6857142857142857,7,9,6
0.6242424242424243,0.6813403263403263,0.7357142857142858,7,9,7
0.6181818181818182,0.6817028985507246,0.7147619047619047,7,9,8
0.6181818181818182,0.6759599096555619,0.7361904761904762,7,9,9
0.6181818181818182,0.6760587238848108,0.7357142857142858,7,9,10
0.6424242424242423,0.7164855072463767,0.6957142857142857,7,10,1
0.6424242424242423,0.7236556064073227,0.6866666666666668,7,10,2
0.6303030303030303,0.7066915282859555,0.7061904761904761,7,10,3
0.6060606060606061,0.6793412251364197,0.7052380952380952,7,10,4
0.606060606060606,0.6723385259242038,0.7157142857142857,7,10,5
0.6303030303030303,0.6984491978609626,0.7057142857142857,7,10,6
0.6303030303030303,0.6872121212121212,0.7357142857142858,7,10,7
0.6181818181818182,0.6775362318840579,0.7247619047619048,7,10,8
0.6181818181818182,0.6759599096555619,0.7361904761904762,7,10,9
0.6181818181818182,0.6760587238848108,0.7357142857142858,7,10,10
0.6606060606060605,0.7206786350903999,0.7342857142857143,8,2,1
0.6909090909090908,0.741717596129361,0.7642857142857143,8,2,2
0.6,0.6826213542070321,0.6657142857142857,8,2,3
0.6181818181818182,0.6975898243632798,0.6857142857142857,8,2,4
0.593939393939394,0.6624571029993025,0.7052380952380952,8,2,5
0.6181818181818182,0.6893582887700535,0.6957142857142857,8,2,6
0.6181818181818182,0.6788787878787879,0.7257142857142858,8,2,7
0.6181818181818182,0.6775362318840579,0.7247619047619048,8,2,8
0.6181818181818182,0.6759599096555619,0.7361904761904762,8,2,9
0.6181818181818182,0.6760587238848108,0.7357142857142858,8,2,10
0.6545454545454545,0.715527950310559,0.7242857142857143,8,3,1
0.6787878787878787,0.7507976827094475,0.7261904761904763,8,3,2
0.6181818181818182,0.6969305675255331,0.6866666666666666,8,3,3
0.593939393939394,0.714016513616056,0.6266666666666667,8,3,4
0.5818181818181818,0.6546772068511199,0.6857142857142857,8,3,5
0.6303030303030303,0.6981856932496319,0.7057142857142857,8,3,6
0.6181818181818182,0.6788787878787879,0.7257142857142858,8,3,7
0.6242424242424243,0.6800724637681159,0.7347619047619048,8,3,8
0.6121212121212121,0.6734236777715038,0.726190476190476,8,3,9
0.6181818181818182,0.6760587238848108,0.7357142857142858,8,3,10
0.6484848484848484,0.7106926406926407,0.7252380952380951,8,4,1
0.6424242424242423,0.7092226613965744,0.7157142857142857,8,4,2
0.6181818181818182,0.7047493569232699,0.6761904761904761,8,4,3
0.5757575757575757,0.6581596892809708,0.6652380952380953,8,4,4
0.6121212121212121,0.680550647136325,0.7066666666666667,8,4,5
0.6181818181818182,0.6894900410757188,0.6957142857142857,8,4,6
0.6121212121212121,0.6730069930069931,0.7257142857142858,8,4,7
0.6181818181818182,0.6817028985507246,0.7147619047619047,8,4,8
0.6181818181818182,0.6759599096555619,0.7361904761904762,8,4,9
0.6181818181818182,0.6760587238848108,0.7357142857142858,8,4,10
0.6666666666666666,0.7145849802371542,0.7642857142857142,8,5,1
0.6666666666666666,0.7415966386554621,0.7161904761904763,8,5,2
0.6121212121212121,0.6914270855003121,0.6766666666666667,8,5,3
0.6,0.6854867100862523,0.6661904761904761,8,5,4
0.5878787878787878,0.6590408432147562,0.6966666666666667,8,5,5
0.6303030303030303,0.6928787878787879,0.7157142857142857,8,5,6
0.6060606060606061,0.6705454545454546,0.7157142857142857,8,5,7
0.6242424242424243,0.6842391304347826,0.7247619047619047,8,5,8
0.6181818181818182,0.6759599096555619,0.7361904761904762,8,5,9
0.6181818181818182,0.6760587238848108,0.7357142857142858,8,5,10
0.6606060606060605,0.7159213250517598,0.7447619047619047,8,6,1
0.6545454545454545,0.7398534544529969,0.6961904761904762,8,6,2
0.6303030303030303,0.6987263943785683,0.7057142857142857,8,6,3
0.5999999999999999,0.6823731569726994,0.6752380952380953,8,6,4
0.5818181818181818,0.6599229415086192,0.6761904761904762,8,6,5
0.6303030303030303,0.6933728590250329,0.7157142857142859,8,6,6
0.6060606060606061,0.6705454545454546,0.7157142857142857,8,6,7
0.6181818181818182,0.6817028985507246,0.7147619047619047,8,6,8
0.6181818181818182,0.6759599096555619,0.7361904761904762,8,6,9
0.6181818181818182,0.6760587238848108,0.7357142857142858,8,6,10
0.6484848484848484,0.7193090569561157,0.7047619047619047,8,7,1
0.6727272727272726,0.7470669427191166,0.7161904761904763,8,7,2
0.6060606060606061,0.6904347826086956,0.6666666666666667,8,7,3
0.6181818181818182,0.7041680287675711,0.6752380952380953,8,7,4
0.5999999999999999,0.6644953886693017,0.7157142857142857,8,7,5
0.6242424242424243,0.6875757575757575,0.7157142857142859,8,7,6
0.6303030303030303,0.6872121212121212,0.7357142857142858,8,7,7
0.6242424242424243,0.6842391304347826,0.7247619047619047,8,7,8
0.6181818181818182,0.6759599096555619,0.7361904761904762,8,7,9
0.6181818181818182,0.6760587238848108,0.7357142857142858,8,7,10
0.6424242424242423,0.718958152958153,0.6952380952380952,8,8,1
0.6424242424242423,0.707360626630515,0.7257142857142858,8,8,2
0.6060606060606061,0.6922546620756339,0.6766666666666666,8,8,3
0.6060606060606061,0.7089355800568614,0.6457142857142857,8,8,4
0.6060606060606061,0.6693017127799736,0.7152380952380952,8,8,5
0.6181818181818182,0.6894900410757188,0.6957142857142857,8,8,6
0.6363636363636364,0.6896736596736597,0.7457142857142858,8,8,7
0.6181818181818182,0.6817028985507246,0.7147619047619047,8,8,8
0.6181818181818182,0.6759599096555619,0.7361904761904762,8,8,9
0.6181818181818182,0.6760587238848108,0.7357142857142858,8,8,10
0.6787878787878787,0.7527917095692033,0.7152380952380952,8,9,1
0.6606060606060605,0.7235779666557699,0.7257142857142858,8,9,2
0.6303030303030303,0.7254978078187797,0.6576190476190475,8,9,3
0.5818181818181818,0.6801608764995493,0.6366666666666666,8,9,4
0.6242424242424243,0.6860051925908703,0.7257142857142858,8,9,5
0.6363636363636364,0.6952121212121212,0.7257142857142858,8,9,6
0.6303030303030303,0.6872121212121212,0.7357142857142858,8,9,7
0.6181818181818182,0.6817028985507246,0.7147619047619047,8,9,8
0.6181818181818182,0.6759599096555619,0.7361904761904762,8,9,9
0.6181818181818182,0.6760587238848108,0.7357142857142858,8,9,10
0.6484848484848484,0.7083333333333333,0.7242857142857142,8,10,1
0.6484848484848484,0.7194889397406559,0.7057142857142857,8,10,2
0.6424242424242423,0.7298155875622561,0.6761904761904761,8,10,3
0.6242424242424243,0.696329519450801,0.7152380952380952,8,10,4
0.6,0.6646310160427807,0.7147619047619047,8,10,5
0.6242424242424243,0.6954188948306596,0.6957142857142857,8,10,6
0.6181818181818182,0.6788787878787879,0.7257142857142858,8,10,7
0.6181818181818182,0.6775362318840579,0.7247619047619048,8,10,8
0.6181818181818182,0.6759599096555619,0.7361904761904762,8,10,9
0.6181818181818182,0.6760587238848108,0.7357142857142858,8,10,10
0.6303030303030303,0.7007594744436849,0.6957142857142857,9,2,1
0.6484848484848484,0.7191205533596838,0.7052380952380952,9,2,2
0.6242424242424243,0.6955361889572416,0.7057142857142857,9,2,3
0.593939393939394,0.698329519450801,0.6461904761904761,9,2,4
0.5999999999999999,0.6644953886693017,0.7157142857142857,9,2,5
0.6242424242424243,0.6906060606060606,0.7057142857142857,9,2,6
0.6121212121212121,0.6756179183135705,0.7157142857142857,9,2,7
0.6181818181818182,0.6775362318840579,0.7247619047619048,9,2,8
0.6181818181818182,0.6759599096555619,0.7361904761904762,9,2,9
0.6181818181818182,0.6760587238848108,0.7357142857142858,9,2,10
0.6545454545454545,0.7190431331953071,0.7247619047619047,9,3,1
0.6727272727272726,0.7501656314699793,0.7161904761904763,9,3,2
0.6181818181818182,0.6956034587748142,0.686190476190476,9,3,3
0.6,0.6862591260760598,0.6666666666666666,9,3,4
0.6303030303030303,0.6827075098814228,0.7447619047619047,9,3,5
0.6060606060606061,0.6784848484848485,0.6857142857142857,9,3,6
0.6060606060606061,0.6705454545454546,0.7157142857142857,9,3,7
0.6242424242424243,0.6800724637681159,0.7347619047619048,9,3,8
0.6181818181818182,0.6759599096555619,0.7361904761904762,9,3,9
