Test Size,Random State,C,Penalty,Solver,Class Weight,Accuracy,Precision,Recall,Specificity
0.15,89,0.1,l1,liblinear,,0.48,0.6923076923076923,0.5,0.42857142857142855
0.15,89,0.1,l1,liblinear,balanced,0.48,0.6923076923076923,0.5,0.42857142857142855
0.15,89,0.1,l2,liblinear,,0.56,0.7333333333333333,0.6111111111111112,0.42857142857142855
0.15,89,0.1,l2,liblinear,balanced,0.6,0.7857142857142857,0.6111111111111112,0.5714285714285714
0.15,89,1.0,l1,liblinear,,0.56,0.7058823529411765,0.6666666666666666,0.2857142857142857
0.15,89,1.0,l1,liblinear,balanced,0.56,0.7058823529411765,0.6666666666666666,0.2857142857142857
0.15,89,1.0,l2,liblinear,,0.56,0.7058823529411765,0.6666666666666666,0.2857142857142857
0.15,89,1.0,l2,liblinear,balanced,0.6,0.75,0.6666666666666666,0.42857142857142855
0.15,89,10.0,l1,liblinear,,0.64,0.7368421052631579,0.7777777777777778,0.2857142857142857
0.15,89,10.0,l1,liblinear,balanced,0.68,0.7777777777777778,0.7777777777777778,0.42857142857142855
0.15,89,10.0,l2,liblinear,,0.6,0.7222222222222222,0.7222222222222222,0.2857142857142857
0.15,89,10.0,l2,liblinear,balanced,0.68,0.7777777777777778,0.7777777777777778,0.42857142857142855
0.15,89,100.0,l1,liblinear,,0.56,0.7058823529411765,0.6666666666666666,0.2857142857142857
0.15,89,100.0,l1,liblinear,balanced,0.56,0.7058823529411765,0.6666666666666666,0.2857142857142857
0.15,89,100.0,l2,liblinear,,0.64,0.7368421052631579,0.7777777777777778,0.2857142857142857
0.15,89,100.0,l2,liblinear,balanced,0.64,0.7368421052631579,0.7777777777777778,0.2857142857142857
0.15,89,1000.0,l1,liblinear,,0.56,0.7058823529411765,0.6666666666666666,0.2857142857142857
0.15,89,1000.0,l1,liblinear,balanced,0.56,0.7058823529411765,0.6666666666666666,0.2857142857142857
0.15,89,1000.0,l2,liblinear,,0.56,0.7058823529411765,0.6666666666666666,0.2857142857142857
0.15,89,1000.0,l2,liblinear,balanced,0.56,0.7058823529411765,0.6666666666666666,0.2857142857142857
0.2,42,0.1,l1,liblinear,,0.5757575757575758,0.6666666666666666,0.6,0.5384615384615384
0.2,42,0.1,l1,liblinear,balanced,0.48484848484848486,0.6363636363636364,0.35,0.6923076923076923
0.2,42,0.1,l2,liblinear,,0.6666666666666666,0.7368421052631579,0.7,0.6153846153846154
0.2,42,0.1,l2,liblinear,balanced,0.6363636363636364,0.7222222222222222,0.65,0.6153846153846154
0.2,42,1.0,l1,liblinear,,0.696969696969697,0.7272727272727273,0.8,0.5384615384615384
0.2,42,1.0,l1,liblinear,balanced,0.696969696969697,0.7272727272727273,0.8,0.5384615384615384
0.2,42,1.0,l2,liblinear,,0.696969696969697,0.7272727272727273,0.8,0.5384615384615384
0.2,42,1.0,l2,liblinear,balanced,0.696969696969697,0.7272727272727273,0.8,0.5384615384615384
0.2,42,10.0,l1,liblinear,,0.6666666666666666,0.6956521739130435,0.8,0.46153846153846156
0.2,42,10.0,l1,liblinear,balanced,0.6666666666666666,0.6956521739130435,0.8,0.46153846153846156
0.2,42,10.0,l2,liblinear,,0.6666666666666666,0.6956521739130435,0.8,0.46153846153846156
0.2,42,10.0,l2,liblinear,balanced,0.696969696969697,0.7272727272727273,0.8,0.5384615384615384
0.2,42,100.0,l1,liblinear,,0.6060606060606061,0.6666666666666666,0.7,0.46153846153846156
0.2,42,100.0,l1,liblinear,balanced,0.6060606060606061,0.6666666666666666,0.7,0.46153846153846156
0.2,42,100.0,l2,liblinear,,0.5757575757575758,0.625,0.75,0.3076923076923077
0.2,42,100.0,l2,liblinear,balanced,0.5757575757575758,0.6363636363636364,0.7,0.38461538461538464
0.2,42,1000.0,l1,liblinear,,0.6060606060606061,0.6666666666666666,0.7,0.46153846153846156
0.2,42,1000.0,l1,liblinear,balanced,0.6060606060606061,0.6666666666666666,0.7,0.46153846153846156
0.2,42,1000.0,l2,liblinear,,0.5757575757575758,0.6363636363636364,0.7,0.38461538461538464
0.2,42,1000.0,l2,liblinear,balanced,0.5454545454545454,0.6190476190476191,0.65,0.38461538461538464
0.2,123,0.1,l1,liblinear,,0.6363636363636364,0.64,0.8421052631578947,0.35714285714285715
0.2,123,0.1,l1,liblinear,balanced,0.5757575757575758,0.631578947368421,0.631578947368421,0.5
0.2,123,0.1,l2,liblinear,,0.6060606060606061,0.6363636363636364,0.7368421052631579,0.42857142857142855
0.2,123,0.1,l2,liblinear,balanced,0.5757575757575758,0.6470588235294118,0.5789473684210527,0.5714285714285714
0.2,123,1.0,l1,liblinear,,0.5151515151515151,0.5789473684210527,0.5789473684210527,0.42857142857142855
0.2,123,1.0,l1,liblinear,balanced,0.5454545454545454,0.6111111111111112,0.5789473684210527,0.5
0.2,123,1.0,l2,liblinear,,0.5454545454545454,0.6,0.631578947368421,0.42857142857142855
0.2,123,1.0,l2,liblinear,balanced,0.5454545454545454,0.6,0.631578947368421,0.42857142857142855
0.2,123,10.0,l1,liblinear,,0.5757575757575758,0.6190476190476191,0.6842105263157895,0.42857142857142855
0.2,123,10.0,l1,liblinear,balanced,0.5757575757575758,0.6190476190476191,0.6842105263157895,0.42857142857142855
0.2,123,10.0,l2,liblinear,,0.5151515151515151,0.5714285714285714,0.631578947368421,0.35714285714285715
0.2,123,10.0,l2,liblinear,balanced,0.5151515151515151,0.5714285714285714,0.631578947368421,0.35714285714285715
0.2,123,100.0,l1,liblinear,,0.5454545454545454,0.5909090909090909,0.6842105263157895,0.35714285714285715
0.2,123,100.0,l1,liblinear,balanced,0.5454545454545454,0.5909090909090909,0.6842105263157895,0.35714285714285715
