Test Size,Random State,N_Neighbors,Accuracy,Precision,Recall
0.3,123,11,0.6521739130434783,0.6575757575757575,0.96
0.3,456,3,0.6695652173913044,0.7233333333333334,0.8474999999999999
0.3,456,5,0.7043478260869565,0.7223057644110276,0.9241666666666667
0.3,456,7,0.7217391304347827,0.7280610617452722,0.9491666666666667
0.3,456,9,0.7304347826086955,0.7354294827979039,0.9491666666666667
0.3,456,11,0.6956521739130435,0.7090689503732982,0.95
0.3,89,3,0.6434782608695652,0.6602941176470589,0.8054945054945055
0.3,89,5,0.617391304347826,0.6339705882352942,0.8219780219780219
0.3,89,7,0.6434782608695653,0.6346198830409356,0.910989010989011
0.3,89,9,0.6347826086956522,0.6276608187134503,0.910989010989011
0.3,89,11,0.6434782608695653,0.6322807017543859,0.9252747252747253
0.3,36,3,0.7217391304347827,0.7342171717171717,0.9066666666666666
0.3,36,5,0.7043478260869565,0.7017088174982912,0.9466666666666667
0.3,36,7,0.7217391304347827,0.717565124933546,0.9466666666666667
0.3,36,9,0.7304347826086957,0.7101298701298702,0.9866666666666667
0.3,36,11,0.6782608695652174,0.6738979860718991,0.9733333333333334
0.3,95,3,0.6608695652173914,0.6841589267285861,0.8457142857142858
0.3,95,5,0.6869565217391305,0.69171802054155,0.900952380952381
0.3,95,7,0.6608695652173913,0.6610693400167085,0.9285714285714286
0.3,95,9,0.6608695652173913,0.6595352016404648,0.9428571428571428
0.3,95,11,0.6782608695652174,0.669628616997038,0.9571428571428571
0.3,70,3,0.591304347826087,0.6236764705882354,0.7615384615384615
0.3,70,5,0.6347826086956522,0.6571895424836602,0.823076923076923
0.3,70,7,0.6260869565217392,0.6408466017986141,0.8538461538461538
0.3,70,9,0.6347826086956523,0.6405760390280514,0.8824175824175825
0.3,70,11,0.6521739130434783,0.6408133971291865,0.9417582417582417
0.3,34,3,0.6695652173913043,0.6942110177404295,0.7945054945054945
0.3,34,5,0.6869565217391304,0.6900000000000001,0.8692307692307694
0.3,34,7,0.7217391304347827,0.7177777777777778,0.8835164835164836
0.3,34,9,0.6956521739130435,0.6791950464396284,0.9285714285714286
0.3,34,11,0.6608695652173913,0.6508855472013367,0.9274725274725274
0.3,74,3,0.6956521739130436,0.6991436925647452,0.8549450549450549
0.3,74,5,0.6869565217391305,0.6859947663275837,0.8835164835164834
0.3,74,7,0.6260869565217391,0.6426984126984128,0.8527472527472529
0.3,74,9,0.6347826086956522,0.6386278195488722,0.8978021978021978
0.3,74,11,0.6173913043478261,0.6302506265664161,0.8681318681318683
0.35,42,3,0.7181818181818181,0.7477777777777778,0.8538461538461538
0.35,42,5,0.7181818181818181,0.7359640522875817,0.8835164835164834
0.35,42,7,0.738095238095238,0.7476111848248073,0.8967032967032967
0.35,42,9,0.6826839826839827,0.6974509803921568,0.8967032967032967
0.35,42,11,0.7103896103896103,0.7097832817337462,0.9406593406593406
0.35,123,3,0.6822510822510822,0.7151980630308803,0.8571428571428571
0.35,123,5,0.6722943722943723,0.6940970072239423,0.8835164835164834
0.35,123,7,0.6818181818181819,0.6846852425180598,0.9428571428571428
0.35,123,9,0.6632034632034631,0.6701754385964912,0.9417582417582417
0.35,123,11,0.6437229437229437,0.6587134502923977,0.9274725274725275
0.35,456,3,0.7012987012987013,0.7563398692810457,0.8371428571428572
0.35,456,5,0.7112554112554113,0.7395848690353335,0.9057142857142857
0.35,456,7,0.7021645021645021,0.7250380854096024,0.9190476190476191
0.35,456,9,0.6826839826839827,0.7038429406850459,0.9323809523809524
0.35,456,11,0.7017316017316018,0.7140336134453781,0.9466666666666667
0.35,89,3,0.6255411255411255,0.635576923076923,0.8025641025641026
0.35,89,5,0.6359307359307359,0.631312349501204,0.885897435897436
0.35,89,7,0.6541125541125542,0.6352777777777778,0.9346153846153846
0.35,89,9,0.635064935064935,0.6265359477124183,0.9012820512820513
0.35,89,11,0.6346320346320347,0.6254385964912281,0.9012820512820513
0.35,36,3,0.7476190476190475,0.7525,0.9131868131868132
0.35,36,5,0.7190476190476189,0.7092156862745098,0.956043956043956
0.35,36,7,0.7186147186147186,0.710392156862745,0.9549450549450551
0.35,36,9,0.7194805194805195,0.7048194014447884,0.9703296703296704
0.35,36,11,0.6727272727272726,0.6720035382574083,0.956043956043956
0.35,95,3,0.6532467532467533,0.6763157894736842,0.8659340659340659
0.35,95,5,0.6532467532467532,0.6718954248366014,0.8802197802197803
0.35,95,7,0.6623376623376623,0.6743713450292398,0.9098901098901099
0.35,95,9,0.6069264069264069,0.6319966583124478,0.8945054945054945
0.35,95,11,0.635064935064935,0.6426315789473684,0.9406593406593406
0.35,70,3,0.596103896103896,0.629563492063492,0.735897435897436
0.35,70,5,0.6164502164502165,0.639232697127434,0.7717948717948717
0.35,70,7,0.6532467532467532,0.6589844142785319,0.8358974358974359
0.35,70,9,0.625974025974026,0.6334288587229764,0.8525641025641025
0.35,70,11,0.6173160173160174,0.6188450292397661,0.885897435897436
0.35,34,3,0.6727272727272728,0.7065196078431374,0.8032967032967033
0.35,34,5,0.7108225108225108,0.7316051268992445,0.8318681318681319
0.35,34,7,0.7294372294372293,0.7211240771612288,0.9076923076923077
0.35,34,9,0.6909090909090909,0.6884760921912625,0.9076923076923077
0.35,34,11,0.690909090909091,0.6821121431028552,0.9384615384615385
0.35,74,3,0.664069264069264,0.6765608875128999,0.8397435897435898
0.35,74,5,0.6636363636363637,0.6726393188854489,0.8564102564102564
0.35,74,7,0.6454545454545454,0.6497446481966607,0.8717948717948717
0.35,74,9,0.645021645021645,0.6406837606837607,0.9179487179487179
0.35,74,11,0.6268398268398269,0.6268284347231716,0.9346153846153846
0.4,42,3,0.6752631578947368,0.6950867269984917,0.8538461538461538
0.4,42,5,0.6952631578947368,0.7061624649859944,0.885897435897436
0.4,42,7,0.6857894736842105,0.6905812324929972,0.9025641025641026
0.4,42,9,0.6757894736842105,0.672843874391862,0.9333333333333332
0.4,42,11,0.6852631578947369,0.675796353629171,0.95
0.4,123,3,0.6868421052631579,0.729961215255333,0.8076923076923077
0.4,123,5,0.6663157894736841,0.692376104287869,0.8371794871794872
0.4,123,7,0.6763157894736842,0.6816993464052288,0.9012820512820513
0.4,123,9,0.6557894736842105,0.6579205366357069,0.9333333333333332
0.4,123,11,0.6468421052631579,0.653530271757826,0.9346153846153846
0.4,456,3,0.7478947368421054,0.7956762192056309,0.8692307692307691
0.4,456,5,0.7278947368421053,0.7581196581196581,0.9131868131868132
0.4,456,7,0.7278947368421053,0.7418300653594772,0.9417582417582417
0.4,456,9,0.7163157894736842,0.7207017543859648,0.9703296703296704
0.4,456,11,0.726842105263158,0.7285448916408669,0.9703296703296704
0.4,89,3,0.6873684210526316,0.6841736694677871,0.8409090909090908
0.4,89,5,0.6678947368421053,0.6448692810457517,0.9303030303030304
0.4,89,7,0.6973684210526316,0.6744810744810745,0.9287878787878787
0.4,89,9,0.6773684210526316,0.6685171038112215,0.8742424242424243
0.4,89,11,0.6773684210526316,0.6563958916900093,0.9106060606060605
0.4,36,3,0.7068421052631579,0.716547619047619,0.8884615384615385
0.4,36,5,0.7068421052631579,0.7137955182072828,0.9025641025641026
0.4,36,7,0.7268421052631578,0.722016806722689,0.9358974358974358
0.4,36,9,0.6668421052631579,0.6635706914344685,0.9525641025641025
0.4,36,11,0.6768421052631578,0.6694444444444444,0.9512820512820515
0.4,95,3,0.6878947368421052,0.700471342383107,0.8717948717948717
0.4,95,5,0.6568421052631579,0.6796380090497738,0.8538461538461538
0.4,95,7,0.6257894736842105,0.6574157868275515,0.8551282051282051
0.4,95,9,0.6052631578947368,0.6357026143790849,0.8705128205128206
0.4,95,11,0.6652631578947368,0.6677373581011352,0.9346153846153845
0.4,70,3,0.5863157894736842,0.6165117235705472,0.7090909090909091
0.4,70,5,0.6063157894736841,0.6158640379228614,0.8
0.4,70,7,0.6368421052631579,0.630982905982906,0.8545454545454545
0.4,70,9,0.6578947368421053,0.6453305681246857,0.890909090909091
0.4,70,11,0.6478947368421053,0.6537154348919054,0.8727272727272727
0.4,34,3,0.6647368421052632,0.687843137254902,0.8384615384615385
0.4,34,5,0.6947368421052632,0.697406629318394,0.9012820512820513
0.4,34,7,0.6947368421052632,0.688562091503268,0.9333333333333332
0.4,34,9,0.6968421052631579,0.6875,0.9512820512820512
0.4,34,11,0.6663157894736841,0.6570141038871689,0.9833333333333334
0.4,74,3,0.6357894736842106,0.6688417791358968,0.8333333333333333
0.4,74,5,0.6457894736842105,0.6626696832579186,0.8666666666666666
0.4,74,7,0.6457894736842105,0.6696821152703506,0.8666666666666666
0.4,74,9,0.6763157894736842,0.6771771056600777,0.9333333333333332
0.4,74,11,0.6668421052631579,0.6606837606837606,0.9333333333333332
